ID,priority,black,white,ground
238950846627168,1,0,1.0,0.0
160596485589266,1,0,1.0,0.0
213025664626708,1,0,1.0,0.0
175564917197907,1,0,1.0,0.0
277595915920073,1,0,1.0,0.0
110693829166124,1,0,1.0,0.0
56237749042538,1,0,0.0,0.0
124700643378680,1,0,0.0,0.0
125292344815735,1,0,0.0,0.0
47623809120238,1,0,0.0,0.0
156437068211188,1,0,1.0,0.0
98084335979123,1,0,0.0,0.0
569270910531,1,0,1.0,0.0
139988611544396,1,0,1.0,0.0
251108221494230,1,0,1.0,0.0
122120634491355,1,0,1.0,0.0
57734861911793,1,0,0.0,0.0
114751516704014,1,0,1.0,0.0
220984287897527,1,0,0.0,0.0
49469335048510,1,0,1.0,0.0
27868793563254,1,0,0.0,0.0
147340993851883,1,0,0.0,0.0
145640326718,1,0,0.0,0.0
98784691206256,1,0,1.0,0.0
75478874297366,1,0,0.0,0.0
62085261430872,1,0,0.0,0.0
216499567568739,1,0,0.0,0.0
91930806675015,1,0,0.0,0.0
44532739804139,1,0,1.0,0.0
209245174766396,1,0,1.0,0.0
39954593348273,1,0,0.0,0.0
119166161533996,1,0,0.0,0.0
250932662645555,1,0,0.0,0.0
42661506054795,1,0,1.0,0.0
219220989329020,1,0,1.0,0.0
78599521671211,1,0,0.0,0.0
17734126649372,1,0,0.0,0.0
187463895380152,1,0,0.0,0.0
247109877132492,1,0,0.0,0.0
40011144432987,1,0,0.0,0.0
235965172348822,1,0,1.0,0.0
208678289300414,1,0,1.0,0.0
220539010130632,1,0,1.0,0.0
266218820407253,1,0,1.0,0.0
69380428252603,1,0,1.0,0.0
79541804271865,1,0,0.0,0.0
135895374205910,1,0,0.0,0.0
239552400483889,1,0,0.0,0.0
270510771143658,1,0,0.0,0.0
207677416760986,1,0,1.0,0.0
36878303189151,1,0,0.0,0.0
233121081660926,1,0,0.0,0.0
90488898477056,1,0,0.0,0.0
85884862806759,1,0,0.0,0.0
99761667171807,1,0,1.0,0.0
231633185611562,1,0,1.0,0.0
271094598190468,1,0,0.0,0.0
153431271940119,1,0,1.0,0.0
208736538051659,1,0,1.0,0.0
268444604581564,1,0,1.0,0.0
65734767529179,1,0,0.0,0.0
181145808492678,1,0,0.0,0.0
184835323360455,1,0,0.0,0.0
116203807775025,1,0,0.0,0.0
240925010789464,1,0,1.0,0.0
56852134688582,1,0,0.0,0.0
107186733746626,1,0,1.0,0.0
191608866833992,1,0,0.0,0.0
11643583745628,1,0,1.0,0.0
151138005782602,1,0,1.0,0.0
106935220299367,1,0,1.0,0.0
176967912125655,1,0,0.0,0.0
220853833533197,1,0,0.0,0.0
83108898442700,1,0,0.0,0.0
243513943595818,1,0,0.0,0.0
96062200665024,1,0,0.0,0.0
110099071521467,1,0,0.0,0.0
255108381472603,1,0,0.0,0.0
122313061896422,1,0,0.0,0.0
116599691430987,1,0,1.0,0.0
95010360539556,1,0,1.0,0.0
274991768028903,1,0,0.0,0.0
28962580764764,1,0,0.0,0.0
7255668128615,1,0,0.0,0.0
192501264234131,1,0,1.0,0.0
109943400932980,1,0,1.0,0.0
8931736950731,1,0,1.0,0.0
175554253029763,1,0,1.0,0.0
42204907716881,1,0,1.0,0.0
87529639327943,1,0,1.0,0.0
267997237245769,1,0,1.0,0.0
121633379160632,1,0,0.0,0.0
24468704069885,1,0,1.0,0.0
210722390024641,1,0,0.0,0.0
88908272487455,1,0,0.0,0.0
216297169504877,1,0,1.0,0.0
238463093936523,1,0,0.0,0.0
165311167223292,1,0,1.0,0.0
276158888590264,1,0,0.0,0.0
86722657031099,1,0,0.0,0.0
47261848835499,1,0,0.0,0.0
4122570523832,1,0,1.0,0.0
22783337836264,1,0,1.0,0.0
176641666105805,1,0,1.0,0.0
52048207865570,1,0,1.0,0.0
31109138102742,1,0,0.0,0.0
123585905319125,1,0,0.0,0.0
172757473912636,1,0,0.0,0.0
209908302070029,1,0,0.0,0.0
49010899210895,1,0,1.0,0.0
83814340065498,1,0,0.0,0.0
127925538906372,1,0,0.0,0.0
136958756939992,1,0,0.0,0.0
225924243214431,1,0,0.0,0.0
245285802104624,1,0,0.0,0.0
86038964817078,1,0,1.0,0.0
120769286984593,1,0,0.0,0.0
210117022867220,1,0,0.0,0.0
197564268592775,1,0,0.0,0.0
138638232942150,1,0,1.0,0.0
112243501750062,1,0,0.0,0.0
215547072686874,1,0,0.0,0.0
149213426403458,1,0,1.0,0.0
28847068331782,1,0,0.0,0.0
206267181923463,1,0,1.0,0.0
269002553558339,1,0,0.0,0.0
221898732881906,1,0,1.0,0.0
74131918861323,1,0,0.0,0.0
232980998641662,1,0,0.0,0.0
259320762316170,1,0,0.0,0.0
230602931566752,1,0,1.0,0.0
56196132700704,1,0,0.0,0.0
78427392497711,1,0,0.0,0.0
77998591525799,1,0,0.0,1.0
71018789632604,1,0,1.0,0.0
62812114999231,1,0,0.0,0.0
222215548552777,1,0,0.0,0.0
79073850695435,1,0,0.0,0.0
104144469075355,1,0,1.0,0.0
257090426020843,1,0,0.0,1.0
159666231179990,1,0,0.0,0.0
100946935256675,1,0,1.0,0.0
35908342926283,1,0,0.0,0.0
147811073130106,1,0,0.0,0.0
144255073049176,1,0,0.0,0.0
12886440593558,1,0,0.0,0.0
84527940553110,1,0,0.0,0.0
215203382829083,1,0,1.0,0.0
220320961632938,1,0,0.0,0.0
247595933256491,1,0,1.0,0.0
25208448992880,1,0,1.0,0.0
10588093520963,1,0,0.0,0.0
15830248965539,1,0,0.0,0.0
89489271605935,1,0,0.0,0.0
137990355419326,1,0,1.0,0.0
119169890242062,1,0,0.0,0.0
46413956304906,1,0,0.0,0.0
169478607650781,1,0,1.0,0.0
183871230049641,1,0,1.0,0.0
265176626983034,1,0,1.0,0.0
142692255314163,1,0,0.0,0.0
3856328386426,1,0,1.0,0.0
223073356846255,1,0,0.0,0.0
195209161155796,1,0,0.0,0.0
262639519443307,1,0,1.0,0.0
228557642253705,1,0,0.0,0.0
128848068569872,1,0,0.0,0.0
152578437302412,1,0,1.0,0.0
127951368903123,1,0,0.0,0.0
43193595351317,1,0,1.0,0.0
152964435154885,1,0,1.0,0.0
18725809409891,1,0,0.0,0.0
261836566184064,1,0,0.0,0.0
96866962075981,1,0,0.0,0.0
99970443249661,1,0,0.0,0.0
132528817798674,1,0,0.0,0.0
152886913383736,1,0,1.0,0.0
49069827690220,1,0,0.0,0.0
175990252623534,1,0,0.0,0.0
160388342471491,1,0,1.0,0.0
55712456854280,1,0,1.0,0.0
240415783229584,1,0,1.0,0.0
12586095141418,1,0,1.0,0.0
194906127071716,1,0,1.0,0.0
3011738404252,1,0,0.0,0.0
260878559338547,1,0,1.0,0.0
147548269161716,1,0,1.0,0.0
258481349980812,1,0,0.0,0.0
175038772663651,1,0,0.0,0.0
156164549023912,1,0,0.0,0.0
10432691801952,1,0,1.0,0.0
158071211293766,1,0,0.0,0.0
47280205011417,1,0,1.0,0.0
153989018475902,1,0,0.0,0.0
149712656134471,1,0,1.0,0.0
73363148397613,1,0,1.0,0.0
130565259556692,1,0,1.0,0.0
129396214713721,1,0,1.0,0.0
125685838069141,1,0,1.0,0.0
96434521040298,1,0,0.0,0.0
95550032020047,1,0,1.0,0.0
126901675575886,1,0,1.0,0.0
109675465631449,1,0,0.0,0.0
262267520017591,1,0,1.0,0.0
274578480238251,1,0,0.0,0.0
52266026456423,1,0,0.0,0.0
224315742037299,1,0,1.0,0.0
228842121458541,1,0,1.0,0.0
12237877904500,1,0,1.0,0.0
126745636669212,1,0,0.0,0.0
91786417324997,1,0,1.0,0.0
230611771245263,1,0,1.0,0.0
268807546640054,1,0,1.0,0.0
238146342050893,1,0,0.0,0.0
203218837675192,1,0,0.0,0.0
123688696854008,1,0,0.0,0.0
249853110572576,1,0,0.0,0.0
83436303699906,1,0,1.0,0.0
239025236456704,1,0,1.0,0.0
151132659483272,1,0,0.0,0.0
195253387225760,1,0,1.0,0.0
238683044866889,1,0,0.0,0.0
122654090408863,1,0,0.0,0.0
105175595297563,1,0,0.0,0.0
133995217450127,1,0,1.0,0.0
155784077393744,1,0,1.0,0.0
23075587064197,1,0,0.0,0.0
188968095160233,1,0,1.0,0.0
219157560277973,1,0,0.0,0.0
226940901809578,1,0,1.0,0.0
137234434072174,1,0,0.0,0.0
44813312282360,1,0,1.0,0.0
69749632233749,1,0,0.0,0.0
5221602773221,1,0,1.0,0.0
25921358527142,1,0,1.0,0.0
37791564521453,1,0,1.0,0.0
66276795554920,1,0,0.0,0.0
91368908755158,1,0,0.0,0.0
