NORMAL_ID,raw_white,raw_ground,raw_universe,has_stats,ground,white,candidate,ID
41217190,1,0,1,1,0,1,0,93630080323361
41728275,1,0,1,1,0,1,0,88031137719878
41782270,0,1,1,1,1,0,1,237204708710297
42119814,0,0,1,1,0,0,1,176560363648489
42195659,1,1,1,1,0,1,0,53597871273592
42251621,0,0,1,1,0,0,1,128031880843481
42441887,1,1,1,1,0,1,0,124666230981799
42833978,1,0,1,1,0,1,0,241198286357073
4369682,1,0,1,1,0,1,0,248459836114891
4508142,1,1,1,1,0,1,0,253192224043000
45179554,1,1,1,1,0,1,0,222943614521474
4525137,1,1,1,1,0,1,0,18936462589668
45461050,0,1,1,1,1,0,1,200917980402943
45465522,1,1,1,1,0,1,0,23662673961344
45910942,1,1,1,1,0,1,0,120512911505755
4604320,1,1,1,1,0,1,0,73239251492183
46971381,1,1,1,1,0,1,0,269154900208900
4698857,1,1,1,1,0,1,0,38755311539869
47335843,1,1,1,1,0,1,0,179253609730838
47420124,0,1,1,1,1,0,1,44442959562610
47532909,1,1,1,1,0,1,0,2026550790271
47575680,1,1,1,1,0,1,0,188395395421891
47620760,1,1,1,1,0,1,0,2849523047675
47734200,1,1,1,1,0,1,0,260763946835990
47790540,1,1,1,1,0,1,0,84536014201117
47883591,0,1,1,1,1,0,1,150001714287395
47939270,1,1,1,1,0,1,0,53857480761288
47985464,0,1,1,1,1,0,1,170000818027398
48079933,0,1,1,1,1,0,1,275134459601872
48278478,1,1,1,1,0,1,0,210165994645391
48281700,0,0,1,1,0,0,1,23204644398852
48334893,1,1,1,1,0,1,0,34331148540877
48338166,0,1,1,1,1,0,1,37499912924264
48409277,1,1,1,1,0,1,0,246096311799894
48454115,1,1,1,1,0,1,0,29136524565883
48649519,1,1,1,1,0,1,0,254541921021821
48780944,1,1,1,1,0,1,0,10219863411716
48907677,1,1,1,1,0,1,0,112677018099780
48919083,1,1,1,1,0,1,0,56898379789169
48944108,1,1,1,1,0,1,0,50547549757108
49037028,0,0,1,1,0,0,1,181935592826705
49043952,1,1,1,1,0,1,0,324700484639
49128909,0,1,1,1,1,0,1,15540839305851
49222044,1,1,1,1,0,1,0,118762112493852
49228798,1,1,1,1,0,1,0,69515230903656
49292495,1,1,1,1,0,1,0,58657356785149
49338153,0,0,1,1,0,0,1,220953830494283
49358113,0,1,1,1,1,0,1,175771886450548
49376888,1,1,1,1,0,1,0,180413073242457
49381475,1,1,1,1,0,1,0,53781069373977
49482617,0,1,1,1,1,0,1,119410543880456
49566148,1,1,1,1,0,1,0,187346956495157
49583647,0,0,1,1,0,0,1,107089198584243
49605288,1,1,1,1,0,1,0,55884006763820
49629167,1,0,1,1,0,1,0,117503293185838
49633412,1,1,1,1,0,1,0,231181089053570
49640151,1,1,1,1,0,1,0,20647986968213
49648878,1,1,1,1,0,1,0,175436746655714
49671361,1,1,1,1,0,1,0,244725462815508
49727716,1,0,1,1,0,1,0,176378553882600
49946928,1,1,1,1,0,1,0,110812793889278
49964534,1,1,1,1,0,1,0,80369456655980
5011194,1,1,1,1,0,1,0,141747037897862
5012493,1,1,1,1,0,1,0,40264873509738
5119462,1,1,1,1,0,1,0,281397698133488
5234019,0,1,1,1,1,0,1,83665252504549
5235770,1,1,1,1,0,1,0,69785799379147
5321025,1,1,1,1,0,1,0,145967025297313
5517353,1,1,1,1,0,1,0,49716450004592
5529506,1,1,1,1,0,1,0,163705579932233
5595921,1,1,1,1,0,1,0,187418098981036
5604823,1,1,1,1,0,1,0,138841033749814
5767830,1,0,1,1,0,1,0,214810183796445
5942872,1,1,1,1,0,1,0,166922228118344
6002487,1,1,1,1,0,1,0,173522063711933
6278588,1,1,1,1,0,1,0,191568197797370
6286117,1,1,1,1,0,1,0,192239866133555
6777560,1,1,1,1,0,1,0,58929524700410
6953407,1,1,1,1,0,1,0,170260278510596
7249173,1,1,1,1,0,1,0,33770902535740
7314089,1,1,1,1,0,1,0,186948403971628
7838529,1,1,1,1,0,1,0,25676235717524
7927272,1,1,1,1,0,1,0,261538226970070
8191199,0,0,1,1,0,0,1,318704294358
8542576,1,1,1,1,0,1,0,6546753628802
8646007,1,1,1,1,0,1,0,91440496830285
8718512,1,1,1,1,0,1,0,15612494784720
