,HomeScorer_LeaveUnscored,ClustersMLProbScorer_LeaveUnscored,logistic_ensemble_regularization_factor=1e-06,logistic_ensemble_regularization_factor=0.5
lift_1,0.0,5.0,5.0,5.0
lift_10,2.0,1.0,1.5,1.0
lift_5,2.0,1.0,1.0,1.0
