ID,priority,black,white,ground
2144358400,1,0,0.0,0.0
3800760322,1,0,0.0,0.0
3191791619,1,0,0.0,0.0
2729656324,1,0,0.0,0.0
4191256581,1,0,1.0,0.0
4121108486,1,0,0.0,0.0
1342382092,1,0,1.0,0.0
3755720717,1,0,1.0,0.0
1318838287,1,0,0.0,0.0
946176016,1,0,0.0,0.0
453500945,1,0,0.0,0.0
353755139,1,0,0.0,0.0
839647252,1,0,0.0,0.0
942952452,1,0,1.0,0.0
2511904795,1,0,0.0,0.0
3333611548,1,0,0.0,0.0
3082582913,1,0,0.0,0.0
3737272353,1,0,0.0,0.0
185188386,1,0,0.0,0.0
573325347,1,0,0.0,0.0
2124324901,1,0,0.0,0.0
197165095,1,0,0.0,0.0
1188814891,1,0,0.0,0.0
982360109,1,0,0.0,0.0
4086546480,1,0,0.0,0.0
3838459955,1,0,1.0,0.0
966934580,1,0,0.0,1.0
3284519604,1,0,1.0,0.0
1910325309,1,0,1.0,0.0
2453086270,1,0,1.0,0.0
1563967552,1,0,0.0,0.0
1610184032,1,0,0.0,0.0
3562463301,1,0,0.0,0.0
1808911717,1,0,0.0,0.0
3795304520,1,0,0.0,0.0
421388363,1,0,0.0,0.0
1053548620,1,0,0.0,0.0
596918352,1,0,0.0,0.0
3317047384,1,0,0.0,0.0
2813616217,1,0,0.0,0.0
2834915421,1,0,1.0,0.0
3090437477,1,0,0.0,0.0
892067936,1,0,0.0,0.0
1650581602,1,0,0.0,0.0
595230820,1,0,0.0,0.0
3309052005,1,0,1.0,0.0
2847694951,1,0,0.0,0.0
1811882090,1,0,0.0,0.0
1331550909,1,0,0.0,0.0
4113883249,1,0,0.0,0.0
4256784501,1,0,0.0,0.0
2101526646,1,0,1.0,0.0
2147815901,1,0,0.0,0.0
1919869055,1,0,0.0,0.0
2962792580,1,0,1.0,0.0
2152991425,1,0,1.0,0.0
3417661576,1,0,1.0,0.0
4272829805,1,0,0.0,0.0
2961039507,1,0,0.0,0.0
3993051292,1,0,0.0,0.0
2703515805,1,0,0.0,0.0
1398325407,1,0,0.0,0.0
3525836960,1,0,1.0,0.0
3983196321,1,0,1.0,0.0
2587648164,1,0,0.0,0.0
273670311,1,0,0.0,0.0
1003888808,1,0,0.0,0.0
1604305068,1,0,0.0,0.0
3640713389,1,0,1.0,0.0
3969294512,1,0,1.0,0.0
3033088178,1,0,1.0,0.0
1118838963,1,0,1.0,0.0
686342322,1,0,0.0,0.0
779665589,1,0,0.0,0.0
522795721,1,0,1.0,0.0
3389104312,1,0,0.0,0.0
1134182585,1,0,0.0,0.0
627261626,1,0,0.0,0.0
1191354555,1,0,0.0,0.0
3524886718,1,0,0.0,0.0
178086079,1,0,1.0,0.0
1729274049,1,0,0.0,0.0
3377553602,1,0,1.0,0.0
2221392069,1,0,0.0,0.0
2389745864,1,0,0.0,0.0
3485769930,1,0,0.0,0.0
2741403852,1,0,0.0,0.0
2746769613,1,0,0.0,0.0
2670084303,1,0,1.0,0.0
1934541010,1,0,0.0,0.0
3035087059,1,0,0.0,0.0
3347742932,1,0,1.0,0.0
207126743,1,0,0.0,0.0
2444411098,1,0,0.0,0.0
2321039579,1,0,0.0,0.0
1072308446,1,0,1.0,0.0
4243587295,1,0,0.0,0.0
3709477090,1,0,1.0,0.0
3824074979,1,0,0.0,0.0
1135370468,1,0,0.0,0.0
3961200869,1,0,1.0,0.0
773332920,1,0,0.0,0.0
246808812,1,0,1.0,0.0
3872112877,1,0,0.0,0.0
945307889,1,0,0.0,0.0
419508265,1,0,0.0,0.0
3187415764,1,0,0.0,0.0
1548886266,1,0,1.0,0.0
2476228860,1,0,0.0,0.0
4221947002,1,0,0.0,0.0
209158401,1,0,1.0,0.0
2015690124,1,0,0.0,0.0
326115587,1,0,0.0,0.0
