ID,priority,black,white,ground,file1_col1
2144358400,1,0,0.0,0.0,0
3800760322,1,0,0.0,0.0,1
3191791619,1,0,0.0,0.0,2
2729656324,1,0,0.0,0.0,3
4191256581,1,0,1.0,0.0,4
4121108486,1,0,0.0,0.0,5
1342382092,1,0,1.0,0.0,6
3755720717,1,0,1.0,0.0,7
1318838287,1,0,0.0,0.0,8
946176016,1,0,0.0,0.0,9
453500945,1,0,0.0,0.0,10
353755139,1,0,0.0,0.0,11
839647252,1,0,0.0,0.0,12
942952452,1,0,1.0,0.0,13
2511904795,1,0,0.0,0.0,14
3333611548,1,0,0.0,0.0,15
3082582913,1,0,0.0,0.0,16
3737272353,1,0,0.0,0.0,17
185188386,1,0,0.0,0.0,18
573325347,1,0,0.0,0.0,19
2124324901,1,0,0.0,0.0,20
197165095,1,0,0.0,0.0,21
1188814891,1,0,0.0,0.0,22
982360109,1,0,0.0,0.0,23
4086546480,1,0,0.0,0.0,24
3838459955,1,0,1.0,0.0,25
966934580,1,0,0.0,1.0,26
3284519604,1,0,1.0,0.0,27
1910325309,1,0,1.0,0.0,28
2453086270,1,0,1.0,0.0,29
1563967552,1,0,0.0,0.0,30
1610184032,1,0,0.0,0.0,31
3562463301,1,0,0.0,0.0,32
1808911717,1,0,0.0,0.0,33
3795304520,1,0,0.0,0.0,34
421388363,1,0,0.0,0.0,35
1053548620,1,0,0.0,0.0,36
596918352,1,0,0.0,0.0,37
3317047384,1,0,0.0,0.0,38
2813616217,1,0,0.0,0.0,39
2834915421,1,0,1.0,0.0,40
3090437477,1,0,0.0,0.0,41
892067936,1,0,0.0,0.0,42
1650581602,1,0,0.0,0.0,43
595230820,1,0,0.0,0.0,44
3309052005,1,0,1.0,0.0,45
2847694951,1,0,0.0,0.0,46
1811882090,1,0,0.0,0.0,47
1331550909,1,0,0.0,0.0,48
4113883249,1,0,0.0,0.0,49
4256784501,1,0,0.0,0.0,50
2101526646,1,0,1.0,0.0,51
2147815901,1,0,0.0,0.0,52
1919869055,1,0,0.0,0.0,53
2962792580,1,0,1.0,0.0,54
2152991425,1,0,1.0,0.0,55
3417661576,1,0,1.0,0.0,56
4272829805,1,0,0.0,0.0,57
2961039507,1,0,0.0,0.0,58
3993051292,1,0,0.0,0.0,59
2703515805,1,0,0.0,0.0,60
1398325407,1,0,0.0,0.0,61
3525836960,1,0,1.0,0.0,62
3983196321,1,0,1.0,0.0,63
2587648164,1,0,0.0,0.0,64
273670311,1,0,0.0,0.0,65
1003888808,1,0,0.0,0.0,66
1604305068,1,0,0.0,0.0,67
3640713389,1,0,1.0,0.0,68
3969294512,1,0,1.0,0.0,69
3033088178,1,0,1.0,0.0,70
1118838963,1,0,1.0,0.0,71
686342322,1,0,0.0,0.0,72
779665589,1,0,0.0,0.0,73
522795721,1,0,1.0,0.0,74
3389104312,1,0,0.0,0.0,75
1134182585,1,0,0.0,0.0,76
627261626,1,0,0.0,0.0,77
1191354555,1,0,0.0,0.0,78
3524886718,1,0,0.0,0.0,79
178086079,1,0,1.0,0.0,80
1729274049,1,0,0.0,0.0,81
3377553602,1,0,1.0,0.0,82
2221392069,1,0,0.0,0.0,83
2389745864,1,0,0.0,0.0,84
3485769930,1,0,0.0,0.0,85
2741403852,1,0,0.0,0.0,86
2746769613,1,0,0.0,0.0,87
2670084303,1,0,1.0,0.0,88
1934541010,1,0,0.0,0.0,89
3035087059,1,0,0.0,0.0,90
3347742932,1,0,1.0,0.0,91
207126743,1,0,0.0,0.0,92
2444411098,1,0,0.0,0.0,93
2321039579,1,0,0.0,0.0,94
1072308446,1,0,1.0,0.0,95
4243587295,1,0,0.0,0.0,96
3709477090,1,0,1.0,0.0,97
3824074979,1,0,0.0,0.0,98
1135370468,1,0,0.0,0.0,99
3961200869,1,0,1.0,0.0,100
773332920,1,0,0.0,0.0,101
246808812,1,0,1.0,0.0,102
3872112877,1,0,0.0,0.0,103
945307889,1,0,0.0,0.0,104
419508265,1,0,0.0,0.0,105
3187415764,1,0,0.0,0.0,106
1548886266,1,0,1.0,0.0,107
2476228860,1,0,0.0,0.0,108
4221947002,1,0,0.0,0.0,109
209158401,1,0,1.0,0.0,110
2015690124,1,0,0.0,0.0,111
326115587,1,0,0.0,0.0,112
833462533,1,0,0.0,0.0,113
1727209735,1,0,0.0,0.0,114
434659594,1,0,1.0,0.0,115
1162879243,1,0,0.0,0.0,116
2097234188,1,0,1.0,0.0,117
3191218445,1,0,1.0,0.0,118
2047435022,1,0,0.0,0.0,119
1386758415,1,0,1.0,0.0,120
294084880,1,0,0.0,0.0,121
2010390802,1,0,1.0,0.0,122
3877413140,1,0,0.0,0.0,123
3933755514,1,0,0.0,0.0,124
1587151126,1,0,1.0,0.0,125
1224335645,1,0,1.0,0.0,126
1043562783,1,0,1.0,0.0,127
3696197921,1,0,1.0,0.0,128
2278383906,1,0,1.0,0.0,129
2803204391,1,0,0.0,1.0,130
1629496711,1,0,0.0,0.0,131
831744733,1,0,0.0,0.0,132
4261593393,1,0,1.0,0.0,133
1506693172,1,0,1.0,0.0,134
2214011194,1,0,0.0,0.0,135
3226435900,1,0,1.0,0.0,136
1799652746,1,0,0.0,0.0,137
1717584195,1,0,1.0,0.0,138
497328452,1,0,1.0,0.0,139
894198086,1,0,0.0,0.0,140
358138185,1,0,1.0,0.0,141
705610059,1,0,0.0,0.0,142
2184102221,1,0,0.0,0.0,143
1125007695,1,0,0.0,0.0,144
1181098320,1,0,1.0,0.0,145
401894115,1,0,0.0,0.0,146
2759729494,1,0,1.0,0.0,147
2252398935,1,0,0.0,0.0,148
3524731225,1,0,1.0,0.0,149
3459391835,1,0,0.0,0.0,150
1968173115,1,0,0.0,0.0,151
304669029,1,0,0.0,0.0,152
390603110,1,0,0.0,0.0,153
3155247463,1,0,0.0,0.0,154
2088788329,1,0,1.0,0.0,155
3853205867,1,0,1.0,0.0,156
3379814765,1,0,0.0,0.0,157
2654183790,1,0,0.0,0.0,158
1803428207,1,0,1.0,0.0,159
4060651888,1,0,0.0,0.0,160
2208571761,1,0,1.0,0.0,161
788922738,1,0,0.0,0.0,162
2233672054,1,0,0.0,0.0,163
537633146,1,0,0.0,0.0,164
3873196778,1,0,1.0,0.0,165
3287048574,1,0,1.0,0.0,166
3460211074,1,0,0.0,0.0,167
2078874347,1,0,0.0,0.0,168
2056899406,1,0,0.0,0.0,169
338411911,1,0,1.0,0.0,170
3638092168,1,0,0.0,0.0,171
58196362,1,0,0.0,0.0,172
8713623,1,0,1.0,0.0,173
