idnum,ClustersMLProbScorer_LeaveUnscored
        1257163,-0.849773162955160
        3666201,-0.674058399768670
        3762856,-0.045534549602555
        4643202,-0.897461430916804
        8264703,-0.719580151117957
        8713623,1.403047262911012
       10216085,-0.416648223625030
       10454613,-0.354837702877985
       12830381,-0.630809127666898
       13579059,-0.589850630519429
       14444511,-0.944206961764696
       14813380,-0.367411935583340
       15145794,-0.413164924337887
       15666050,-0.640515254225915
       16030619,-0.944206961764696
       18403675,-0.113324717185394
       20688811,-0.815496664498582
       22256316,-0.095387809534323
       24755307,-0.918806422171549
       26276859,-0.111386388693832
       26484175,1.804223154854795
       27194025,0.878517057161478
       27472397,0.324414805968382
       27905466,-0.240309489054577
       28562031,-0.703517536984684
       32088949,-0.944206961764696
       32209495,0.995252306119603
       32228579,-0.876116439662059
       32388948,-0.838779984244889
       33848378,2.058585062961622
       35886541,1.084989190424940
       37935529,-0.777253555167163
       38529900,-0.703536595012590
       39662473,-0.856724515107122
       40491651,-0.053309716774135
       41839058,-0.690027248404646
       42935543,-0.266969521735594
       46861991,-0.404638932468516
       48025958,-0.739085153305136
       50076758,-0.720918363486345
       50381881,1.869920412164166
       50688849,-0.266581330882734
       51712238,-0.813147699032405
       52301276,-0.702795110673526
       52305841,-0.944206961764696
       53815282,-0.110337943051962
       54159288,-0.750151006628489
       54322946,-0.566814048707745
       54866034,-0.673178935307567
       57560196,-0.850502450156364
       57895567,0.089389396281185
       58196362,-0.847812981258266
       60575993,-0.809793486120945
       60975052,0.782584280930374
       61279800,-0.673815758347520
       61673048,2.508918385062736
       65348353,-0.156659115145147
       65797629,-0.618361440266839
       68991036,-0.944206961764696
       71240446,-0.755270924649855
       72718694,-0.726760199604792
       73166801,0.499497096735430
       73499309,0.395554104321905
       75390012,3.068321732595821
       76011693,-0.822457503313324
       80662100,-0.747096640022750
       81603853,-0.592340879499149
       83019021,-0.786406236595790
       84317600,-0.654768880350349
       87519714,-0.488444219269022
       87624014,0.492810185308457
       88373450,-0.462734092600335
       91675892,-0.428210347995056
       91739717,-0.840648179193757
       93289481,-0.833494049624875
       95774621,0.485565393428235
       96198130,0.790289568666298
       98581287,-0.933107566312229
      100041341,0.738564556287120
      102874632,0.745049876130021
      104812720,0.913079426036648
      104974358,-0.189465858489613
      105321867,1.580259309472143
      105642960,-0.763059135982757
      108655817,0.408286391605360
      110278528,-0.215255435959082
      110507344,0.191690888025259
      115271771,-0.772462682660334
      116429755,1.521296982119855
      117286282,-0.607023692412026
      117821048,-0.672559930561179
      118360577,0.762903860184115
      119572611,-0.783443602631039
      121318751,1.665522724062686
      121407795,-0.628443645243202
      124726856,-0.444720952837640
      125806967,-0.346611241605591
      126837628,1.724585246590376
      127588095,-0.632293112773180
      128166283,0.364438697427339
      128699208,-0.794795580480021
      131722143,-0.944206961764696
      132953585,0.820273182810285
      135869424,-0.839829954528991
      136507530,0.188589511617352
      136563772,1.441826961605916
      138167699,-0.816990813886414
      138197111,-0.445481241097571
      139594293,0.208937895066131
      146556637,2.131106873010624
      146589912,-0.657863904082287
      146654916,-0.856333698481530
      146668200,0.594967906370092
      146835745,0.068075690993060
      147615847,0.886087159952787
      148438730,-0.741571844786314
      150592548,1.337867621639564
      151276515,0.168660404782504
      153026235,-0.781971306448539
      153805298,-0.820832912312268
      154289260,-0.759551442419894
      154606057,1.174870407528285
      154824772,1.618540280752335
      155749111,-0.707448349567914
      156822966,-0.776577630444096
      156964214,-0.290935034178590
      157732323,-0.132842170617471
      158222197,-0.501519466352440
      158502627,-0.650005898016076
      158940143,0.906363631109603
      159374064,-0.188011603906864
      159635782,-0.675427020279362
      164953467,-0.711297532190000
      169660931,1.766962677442207
      169859367,0.794912792129259
      171698843,-0.705996859361738
      171775437,-0.705535146872335
      171778968,-0.766313823637375
      173299067,1.508841255697115
      173341789,-0.944206961764696
      174795272,-0.664773328572856
      174906694,-0.381056243829712
      175198917,-0.662495767184567
      176258242,-0.671412721983583
      177470199,-0.733198255538485
      178086079,1.365433853922247
      178436741,0.400637769739077
      178871054,-0.685719117669730
      179509162,-0.772166332251449
      180828873,1.380767242456022
      182988375,-0.705879461909837
      183204935,-0.898742130392089
      183359707,-0.765959544523868
      185188386,-0.797009191596892
      185407090,0.573827471281538
      185988792,0.531390071168562
      186731606,-0.877397139137343
      187263797,1.265647606050250
      187609815,-0.494570909377904
      188351587,0.183060650668295
      189960673,-0.944206961764696
      192418760,0.275196559526443
      192734429,2.063352111008516
      193102160,-0.541622639207487
      193628988,-0.835134056452947
      194913990,1.994234742362302
      195805052,0.731103719522470
      197093544,-0.818484963274246
      197165095,1.407568928260821
      199543593,-0.507422965778956
      202267452,0.185868787553488
      203774297,-0.373335170656532
      203979224,-0.864163244559401
      204878041,-0.852111455925710
      206055142,-0.418828492818332
      206110424,-0.813699619520563
      207126743,-0.682486876136869
      209158401,1.952955308024895
      209313138,-0.455058789494983
      214707270,-0.517800866646075
      215066694,1.572794406994876
      218664243,-0.522728764448495
      221667877,-0.499893181304460
      222170761,0.066986334117951
