,HomeScorer_LeaveUnscored
recall_prcntg90,1.0
recall_bottom_prcntg90,0.85
recall_prcntg20,0.2
recall_bottom_prcntg60,0.35
recall_bottom_prcntg40,0.05
recall_prcntg60,0.95
recall_prcntg40,0.7
recall_bottom_prcntg20,0.05
recall_prcntg80,1.0
recall_bottom_prcntg1,0.0
recall_bottom_prcntg5,0.0
recall_bottom_prcntg100,1.0
recall_prcntg1,0.0
recall_prcntg100,1.0
recall_prcntg5,0.1
recall_bottom_prcntg80,0.8
recall_prcntg30,0.5
recall_prcntg10,0.2
recall_bottom_prcntg50,0.1
recall_prcntg70,0.95
recall_bottom_prcntg10,0.0
recall_prcntg50,0.9
recall_bottom_prcntg70,0.6
recall_bottom_prcntg30,0.05
