idnum,logistic_ensemble_regularization_factor=1e-06
        1257163,0.499599911754743
        3666201,0.499628424174818
        3762856,0.499970910474696
        4643202,0.499577819532810
        8264703,0.499660584191063
        8713623,0.500712561234650
       10216085,0.499866780718033
       10454613,0.500010918340263
       12830381,0.499757431881543
       13579059,0.499725067849363
       14444511,0.499514775907171
       14813380,0.499975229813643
       15145794,0.500009595639691
       15666050,0.499832044975844
       16030619,0.499499950988138
       18403675,0.500095225266113
       20688811,0.499593400276814
       22256316,0.499857590706080
       24755307,0.499519756590057
       26276859,0.499909699455007
       26484175,0.500877442435168
       27194025,0.500504250209347
       27472397,0.500189527572338
       27905466,0.500002193749077
       28562031,0.499635232636356
       32088949,0.499500655509191
       32209495,0.500381869819889
       32228579,0.499618731513013
       32388948,0.499648296377304
       33848378,0.500681234600633
       35886541,0.500488574664336
       37935529,0.499658315120817
       38529900,0.499666239001415
       39662473,0.499682324677870
       40491651,0.500007064090131
       41839058,0.499618515068547
       42935543,0.499874318421903
       46861991,0.499990782101324
       48025958,0.499630810057004
       50076758,0.499630101811176
       50381881,0.500802588606860
       50688849,0.499988984901021
       51712238,0.499608858723680
       52301276,0.499711411887311
       52305841,0.499503515149052
       53815282,0.499976937976806
       54159288,0.499656736483973
       54322946,0.499745447662788
       54866034,0.499663626010653
       57560196,0.499659376513451
       57895567,0.500108634070971
       58196362,0.499601190139286
       60575993,0.499580416951451
       60975052,0.500355933029306
       61279800,0.499823539630508
       61673048,0.500900607871116
       65348353,0.500092809793901
       65797629,0.499828522118522
       68991036,0.499507986215726
       71240446,0.499779894271232
       72718694,0.499665853439814
       73166801,0.500270254545923
       73499309,0.500217033999003
       75390012,0.501177976597399
       76011693,0.499682021636634
       80662100,0.499627221149461
       81603853,0.499883699208678
       83019021,0.499710794259800
       84317600,0.499660416271133
       87519714,0.499726857309332
       87624014,0.500222358080476
       88373450,0.499868665533161
       91675892,0.499842484579223
       91739717,0.499682508767388
       93289481,0.499688650342673
       95774621,0.500258432590088
       96198130,0.500387097264064
       98581287,0.499527777223284
      100041341,0.500346723509038
      102874632,0.500280918146133
      104812720,0.500396194277450
      104974358,0.500077456103639
      105321867,0.500581691593629
      105642960,0.499647599935930
      108655817,0.500266919795066
      110278528,0.500016085684763
      110507344,0.500178447520384
      115271771,0.499770844634528
      116429755,0.500651640379516
      117286282,0.499868252905432
      117821048,0.499797200155142
      118360577,0.500385622382783
      119572611,0.499597642221326
      121318751,0.500676172044245
      121407795,0.499721108994538
      124726856,0.499859969006989
      125806967,0.499879659552809
      126837628,0.500727056783573
      127588095,0.499691959082239
      128166283,0.500213791826527
      128699208,0.499692007526404
      131722143,0.499503442664579
