idnum,ClustersMLProbScorer_LeaveUnscored
        1257163,8.468333333333334
        3666201,24.932595238095239
        3762856,83.824523809523839
        4643202,4.000000000000000
        8264703,20.667261904761904
        8713623,219.554896825396924
       10216085,49.051619047619027
       10454613,54.843190476190458
       12830381,28.984999999999999
       13579059,32.822761904761904
       14444511,nan
       14813380,53.665000000000013
       15145794,49.378000000000007
       15666050,28.075547619047622
       16030619,nan
       18403675,77.472666666666697
       20688811,11.680000000000000
       22256316,79.153333333333350
       24755307,2.000000000000000
       26276859,77.654285714285677
       26484175,257.144595238095462
       27194025,170.407047619047603
       27472397,118.488333333333387
       27905466,65.574346320346294
       28562031,22.172309523809524
       32088949,nan
       32209495,181.345000000000027
       32228579,6.000000000000000
       32388948,9.498380952380952
       33848378,280.977999999999838
       35886541,189.753238095238089
       37935529,15.263333333333334
       38529900,22.170523809523811
       39662473,7.817000000000000
       40491651,83.096000000000018
       41839058,23.436333333333337
       42935543,63.076333333333316
       46861991,50.176875180375163
       48025958,18.839666666666666
       50076758,20.541873015873016
       50381881,263.300349206349267
       50688849,63.112706349206348
       51712238,11.900095238095238
       52301276,22.239999999999995
       52305841,nan
       53815282,77.752523809523780
       54159288,17.802809523809522
       54322946,34.981261904761908
       54866034,25.015000000000001
       57560196,8.400000000000000
       57895567,96.466735209235154
       58196362,8.652000000000001
       60575993,12.214380952380951
       60975052,161.418261904761920
       61279800,24.955330447330446
       61673048,323.173690476190302
       65348353,73.412285714285744
       65797629,30.151333333333341
       68991036,nan
       71240446,17.323079365079362
       72718694,19.994499999999999
       73166801,134.893333333333345
       73499309,125.154000000000039
       75390012,375.589111111110526
       76011693,11.027777777777779
       80662100,18.089000000000002
       81603853,32.589428571428577
       83019021,14.405738095238096
       84317600,26.740000000000006
       87519714,42.324420634920628
       87624014,134.266777777777804
       88373450,44.733428571428576
       91675892,47.968261904761903
       91739717,9.323333333333334
       93289481,9.993666666666668
       95774621,133.587949494949470
       96198130,162.140238095238061
       98581287,0.660000000000000
      100041341,157.293666666666610
      102874632,157.901333333333412
      104812720,173.645500000000112
      104974358,70.338333333333338
      105321867,236.159452380952217
      105642960,16.593333333333334
      108655817,126.346999999999980
      110278528,67.921880952380945
      110507344,106.052261904761920
      115271771,15.712232323232323
      116429755,230.634753246753291
      117286282,31.213666666666668
      117821048,25.073000000000004
      118360577,159.574230158730302
      119572611,14.683333333333337
      121318751,244.148531746031580
      121407795,29.206642857142853
      124726856,46.421238095238088
      125806967,55.614000000000004
      126837628,249.682619047619028
      127588095,28.845952380952383
      128166283,122.238523809523841
      128699208,13.619666666666669
      131722143,nan
      132953585,164.949666666666616
      135869424,9.400000000000000
      136507530,105.761666666666656
      136563772,223.188507936507790
      138167699,11.540000000000001
      138197111,46.349999999999987
      139594293,107.668285714285702
      146556637,287.773206349206305
      146589912,26.449999999999999
      146654916,7.853619047619047
      146668200,143.838833333333326
      146835745,94.469666666666683
      147615847,171.116357142856970
      148438730,18.606666666666669
      150592548,213.447642857142597
      151276515,103.894333333333307
      153026235,14.821285714285715
      153805298,11.180000000000000
      154289260,16.922000000000004
      154606057,198.174999999999955
      154824772,239.746333333333183
      155749111,21.803997113997109
      156822966,15.326666666666664
      156964214,60.830793650793666
      157732323,75.643904761904764
      158222197,41.099285714285706
      158502627,27.186285714285713
      158940143,173.016238095238094
      159374064,70.474595238095219
      159635782,24.804357142857143
      164953467,21.443333333333332
      169660931,253.653333333333222
      169859367,162.573428571428423
      171698843,21.939999999999998
      171775437,21.983261904761900
      171778968,16.288373015873017
      173299067,229.467666666666616
      173341789,nan
      174795272,25.802595238095236
      174906694,52.386544733044730
      175198917,26.016000000000005
      176258242,25.180492063492061
      177470199,19.391261904761901
      178086079,216.030565656565642
      178436741,125.630333333333354
      178871054,23.840000000000003
      179509162,15.740000000000000
      180828873,217.467285714285623
      182988375,21.951000000000008
      183204935,3.880000000000000
      183359707,16.321568542568546
      185188386,13.412253968253966
      185407090,141.858000000000033
      185988792,137.881666666666717
      186731606,5.880000000000001
      187263797,206.680714285714089
      187609815,41.750357142857148
      188351587,105.243619047619049
      189960673,nan
      192418760,113.876642857142912
      192734429,281.424666666666553
      193102160,37.341666666666669
      193628988,9.840000000000000
      194913990,274.948452380952290
      195805052,156.594595238095167
      197093544,11.400000000000000
      197165095,219.978571428571371
      199543593,40.546134920634920
      202267452,105.506738095238120
      203774297,53.109999999999985
      203979224,7.120000000000001
      204878041,8.249238095238095
      206055142,48.847330447330464
      206110424,11.848380952380952
      207126743,24.142857142857135
      209158401,271.080619047618882
      209313138,45.452595238095242
      214707270,39.573738095238092
      215066694,235.460000000000065
      218664243,39.112000000000002
      221667877,41.251666666666651
      222170761,94.367595238095262
      222329944,226.799285714285475
      222815474,32.392833333333336
      223183399,187.203333333333376
      224849060,14.400333333333336
      224853921,43.664952380952371
      225113954,74.757666666666694
      225832912,48.755666666666670
      225947859,171.202238095237988
      226736066,35.244898989898978
      227023597,153.586619047618967
      227104646,249.951738095238056
      227245329,12.159999999999998
      227821952,32.272142857142860
      233278274,11.158000000000001
      235994585,174.498000000000019
      237574474,31.629330447330442
      237580894,34.361928571428578
      241197609,49.516261904761905
      242878731,11.780000000000001
      242955686,22.186333333333327
      244462675,113.460753968253997
      245934481,72.038928571428585
      246209747,26.500000000000000
      246808812,110.543333333333322
      250920048,71.449261904761912
      251426884,27.684952380952382
      254693089,278.217666666666332
      254839696,52.546952380952355
      256070847,17.158285714285714
      257654678,81.774873015872998
      260302946,33.151666666666664
      261510752,32.072023809523806
      262695517,4.600000000000000
      264425091,41.256015873015855
      267021979,4.000000000000000
      267269087,110.180000000000021
      267507893,11.520000000000000
      267789728,220.394166666666621
      268442623,2.000000000000000
      271023484,267.688999999999623
      271497799,23.887928571428567
      271982693,13.400666666666668
      272374884,5.780000000000000
      272904435,20.874158730158729
      273670311,32.134142857142855
      273895788,63.053333333333313
      274416329,213.950730158730039
      274990305,256.708833333333246
      275753215,374.861690476190745
      277219886,204.998499999999666
      277784697,40.350412698412690
      279688893,191.145738095238045
      280409396,13.640000000000002
      280722793,113.980000000000004
      280945415,nan
      283261510,168.173000000000087
      283691199,38.559095238095246
      284764044,187.472999999999928
      286638994,50.159261904761905
      287219131,93.262238095238061
      288190048,445.101666666666517
      288397188,138.751666666666694
      292889168,3.000000000000000
      294084880,nan
